Position,Nature,Salary,Base Salary,Bonus
Software Engineer,,49 500 €,42 500 €,9 250 €
Ingénieur,STAGE,16 478 €,16 426 €,2 054 €
Stagiaire,STAGE,16 098 €,16 098 €,0
Ingénieur Développement Logiciel,,50 800 €,44 845 €,8 829 €
Ingénieur R&D,,50 000 €,43 397 €,8 971 €
Ingénieur,,40 000 €,39 431 €,9 142 €
Intern,STAGE,14 291 €,14 291 €,0
Data Scientist,,49 680 €,43 895 €,8 574 €
Ingénieur Logiciel,,48 709 €,40 383 €,9 060 €
Software Developer,,42 668 €,40 701 €,4 391 €
Chef De Projet,,59 007 €,56 000 €,8 184 €
Project Manager,,57 207 €,57 207 €,6 000 €
Software Engineer,STAGE,15 985 €,15 970 €,2 706 €
R&D Software Engineer,,50 525 €,43 001 €,8 705 €
Ingénieur,APPRENTI,16 921 €,16 921 €,1 906 €
Ingénieur R&D,STAGE,16 500 €,16 500 €,0
Consultant,,47 440 €,46 038 €,5 831 €
Product Manager,,76 780 €,53 784 €,16 612 €
Software Engineer Intern,STAGE,18 571 €,18 571 €,0
Solution Architect,,55 274 €,51 750 €,8 000 €
Business Consultant,,62 000 €,56 827 €,28 503 €
Manager,,80 000 €,79 654 €,15 000 €
Industry Process Consultant,,49 974 €,45 000 €,8 431 €
Sales Manager,,132 018 €,73 410 €,53 263 €
R&D,STAGE,16 619 €,16 619 €,0
Recherche et développement,STAGE,17 017 €,17 017 €,0
Solution Consultant,,46 857 €,46 857 €,0
Contract Manager,,44 379 €,42 879 €,2 000 €
Business Analyst,,69 774 €,62 180 €,11 096 €
Data Scientist,STAGE,19 200 €,19 183 €,3 943 €
Data Analyst,STAGE,15 494 €,15 494 €,0
Technical Consultant,,55 000 €,45 000 €,9 208 €
Software Engineer(Internship),STAGE,16 200 €,16 200 €,0
Software Development Engineer,,52 052 €,44 819 €,6 743 €
Chef De Projet Digital,,49 500 €,49 500 €,8 233 €
Développeur,STAGE,15 465 €,15 465 €,0
Business Analyst,STAGE,17 913 €,17 913 €,0
Software Developer,STAGE,15 712 €,15 712 €,0
Développeur,,48 288 €,41 645 €,13 578 €
Ingénieur De Recherche,STAGE,15 544 €,15 544 €,0
Ingénieur Informatique,,47 824 €,41 869 €,7 304 €
Front End Developer,,45 342 €,41 074 €,4 268 €
Solutions Consultant,,48 010 €,43 711 €,4 299 €
Ingénieur Développement Logiciel,STAGE,16 504 €,16 504 €,0
Internship,STAGE,13 270 €,13 270 €,0
Ingénieur Devops,,40 980 €,39 359 €,5 000 €
Software Architect,,65 535 €,59 002 €,11 000 €
Senior Manager,,72 279 €,66 074 €,12 411 €
Ingénieur Informatique,STAGE,18 478 €,18 478 €,0
Chef De Projet,STAGE,14 988 €,14 988 €,0
Senior Project Manager,,70 209 €,66 324 €,13 885 €
Ingénieur De Recherche,,58 016 €,47 582 €,10 217 €
Ingénieur Logiciel,STAGE,13 817 €,13 817 €,0
Comptable,,44 362 €,44 362 €,0
Apprenti,APPRENTI,19 551 €,19 551 €,0
Business Process Analyst,,48 424 €,43 427 €,9 995 €
Consultant,STAGE,14 574 €,14 574 €,0
Rédacteur Technique,,42 840 €,42 392 €,5 196 €
Marketing,,64 252 €,61 749 €,11 125 €
Software Engineer Specialist,,49 205 €,41 000 €,9 039 €
Solutions Architect,,51 000 €,49 000 €,6 108 €
Ingénieur Commercial,,66 152 €,58 326 €,15 652 €
Market Analyst,,45 816 €,42 816 €,3 001 €
Business Process Analyst,APPRENTI,16 165 €,16 165 €,0
Business Development,STAGE,16 120 €,16 120 €,0
R&D Engineer,,58 497 €,58 497 €,13 186 €
Sales Director,,90 000 €,90 000 €,13 €
Financial Analyst,,55 704 €,55 704 €,0
Senior Marketing Manager,,93 500 €,75 000 €,18 500 €
Research Intern,STAGE,16 152 €,16 152 €,0
Senior Software Developer,,55 082 €,55 082 €,0
chargée de formation,,55 626 €,55 626 €,2 €
Ingénieur Développement,STAGE,17 012 €,17 012 €,0
Consulting,STAGE,12 763 €,12 763 €,0
Computer Forensic Technician,,45 441 €,45 271 €,9 098 €
Strategy Analyst,STAGE,15 526 €,15 526 €,0
Sales Representative,,107 621 €,86 097 €,33 319 €
Customer Success Manager,,51 153 €,51 153 €,12 577 €
Social Media Manager,,53 461 €,47 000 €,10 087 €
Senior Software Engineer,,57 262 €,57 262 €,15 823 €
Dassault Systems,,41 412 €,41 412 €,0
Marketing,STAGE,14 218 €,14 218 €,0
Communications Specialist,,50 000 €,44 416 €,8 300 €
Client Executive,,101 262 €,101 262 €,85 257 €
Développeur Web,,40 554 €,39 500 €,8 000 €
Sales Operations Specialist,,60 433 €,51 421 €,9 012 €
Business Process Define Intern,STAGE,16 955 €,16 955 €,0
Strategic Planning Analyst,STAGE,19 750 €,19 750 €,0
Consulting Contract Negotiator,STAGE,16 310 €,16 310 €,0
Senior Client Executive,,138 000 €,110 000 €,56 000 €
Analyste Financier,,50 000 €,50 000 €,0
Ingénieur D'études,,44 773 €,44 773 €,0
Data Engineer,,63 000 €,53 000 €,10 000 €
Digital Marketing Manager,,58 458 €,49 955 €,8 503 €
Business Analyst,APPRENTI,19 800 €,19 800 €,0
